Month,ProductSales
5/5/2018,9858.15
5/6/2018,9654.8
5/7/2018,9373.01
5/8/2018,9234.82
5/9/2018,9325.18
5/10/2018,9043.94
5/11/2018,8441.49
5/12/2018,8504.89
5/13/2018,8723.94
5/14/2018,8716.79
5/15/2018,8510.38
5/16/2018,8368.83
5/17/2018,8094.32
5/18/2018,8250.97
5/19/2018,8247.18
5/20/2018,8513.25
5/21/2018,8418.99
5/22/2018,8041.78
5/23/2018,7557.82
5/24/2018,7587.34
5/25/2018,7480.14
5/26/2018,7355.88
5/27/2018,7368.22
5/28/2018,7135.99
5/29/2018,7472.59
5/30/2018,7406.52
5/31/2018,7494.17
6/1/2018,7541.45
6/2/2018,7643.45
6/3/2018,7720.25
6/4/2018,7514.47
6/5/2018,7633.76
6/6/2018,7653.98
6/7/2018,7678.24
6/8/2018,7624.92
6/9/2018,7531.98
6/10/2018,6786.02
6/11/2018,6906.92
6/12/2018,6582.36
6/13/2018,6349.9
6/14/2018,6675.35
6/15/2018,6456.58
6/16/2018,6550.16
6/17/2018,6499.27
6/18/2018,6734.82
6/19/2018,6769.94
6/20/2018,6776.55
6/21/2018,6729.74
6/22/2018,6083.69
6/23/2018,6162.48
6/24/2018,6173.23
6/25/2018,6249.18
6/26/2018,6093.67
6/27/2018,6157.13
6/28/2018,5903.44
6/29/2018,6218.3
6/30/2018,6404.00
7/1/2018,6385.82
7/2/2018,6614.18
7/3/2018,6529.59
7/4/2018,6597.55
7/5/2018,6639.14
7/6/2018,6673.5
7/7/2018,6856.93
7/8/2018,6773.88
7/9/2018,6741.75
7/10/2018,6329.95
7/11/2018,6394.71
7/12/2018,6228.81
7/13/2018,6238.05
7/14/2018,6276.12
7/15/2018,6359.64
7/16/2018,6741.75
7/17/2018,7321.04
7/18/2018,7370.78
7/19/2018,7466.86
7/20/2018,7354.13
7/21/2018,7419.29
7/22/2018,7418.49
7/23/2018,7711.11
7/24/2018,8424.27
7/25/2018,8181.39
7/26/2018,7951.58
7/27/2018,8165.01
7/28/2018,8192.15
7/29/2018,8218.46
7/30/2018,8180.48
7/31/2018,7780.44
8/1/2018,7624.91
8/2/2018,7567.15
8/3/2018,7434.39
8/4/2018,7032.85
8/5/2018,7068.48
8/6/2018,6951.8
8/7/2018,6753.12
8/8/2018,6305.8
8/9/2018,6568.23
8/10/2018,6184.71
8/11/2018,6295.73
8/12/2018,6322.69
8/13/2018,6297.57
8/14/2018,6199.71
8/15/2018,6308.52
8/16/2018,6334.73
8/17/2018,6580.63
8/18/2018,6423.76
8/19/2018,6506.07
8/20/2018,6308.53
8/21/2018,6488.76
8/22/2018,6376.71
8/23/2018,6534.88
8/24/2018,6719.96
8/25/2018,6763.19
8/26/2018,6707.26
8/27/2018,6884.64
8/28/2018,7096.28
8/29/2018,7047.16
8/30/2018,6978.23
8/31/2018,7037.58
9/1/2018,7193.25
9/2/2018,7272.72
9/3/2018,7260.06
9/4/2018,7361.66
9/5/2018,6792.83
9/6/2018,6529.17
9/7/2018,6467.07
9/8/2018,6225.98
9/9/2018,6300.86
9/10/2018,6329.7
9/11/2018,6321.2
9/12/2018,6351.8
9/13/2018,6517.31
9/14/2018,6512.71
9/15/2018,6543.2
9/16/2018,6517.18
9/17/2018,6281.2
9/18/2018,6371.3
9/19/2018,6398.54
9/20/2018,6519.67
9/21/2018,6734.95
9/22/2018,6721.98
9/23/2018,6710.63
9/24/2018,6595.41
9/25/2018,6446.47
9/26/2018,6495.00
9/27/2018,6676.75
9/28/2018,6644.13
9/29/2018,6601.96
9/30/2018,6625.56
10/1/2018,6589.62
10/2/2018,6556.1
10/3/2018,6502.59
10/4/2018,6576.69
10/5/2018,6622.48
10/6/2018,6588.31
10/7/2018,6602.95
10/8/2018,6652.23
10/9/2018,6642.64
10/10/2018,6585.53
10/11/2018,6256.24
10/12/2018,6274.58
10/13/2018,6285.99
10/14/2018,6290.93
10/15/2018,6596.54
10/16/2018,6596.11
10/17/2018,6544.43
10/18/2018,6476.71
10/19/2018,6465.41
10/20/2018,6489.19
10/21/2018,6482.35
10/22/2018,6487.16
10/23/2018,6475.74
10/24/2018,6495.84
10/25/2018,6476.29
10/26/2018,6474.75
10/27/2018,6480.38
10/28/2018,6486.39
10/29/2018,6332.63
10/30/2018,6334.27
10/31/2018,6317.61
11/1/2018,6377.78
11/2/2018,6388.44
11/3/2018,6361.26
11/4/2018,6376.13
11/5/2018,6419.66
11/6/2018,6461.01
11/7/2018,6530.14
11/8/2018,6453.72
11/9/2018,6385.62
11/10/2018,6409.22
11/11/2018,6411.27
11/12/2018,6371.27
11/13/2018,6359.49
11/14/2018,5738.35
11/15/2018,5648.03
11/16/2018,5575.55
11/17/2018,5554.33
11/18/2018,5623.54
11/19/2018,4871.49
11/20/2018,4451.87
11/21/2018,4602.17
11/22/2018,4365.94
11/23/2018,4347.11
11/24/2018,3880.76
11/25/2018,4009.97
11/26/2018,3779.13
11/27/2018,3820.72
11/28/2018,4257.42
11/29/2018,4278.85
11/30/2018,4017.27
12/1/2018,4214.67
12/2/2018,4139.88
12/3/2018,3894.13
12/4/2018,3956.89
12/5/2018,3753.99
12/6/2018,3521.1
12/7/2018,3419.94
12/8/2018,3476.11
12/9/2018,3614.23
12/10/2018,3502.66
12/11/2018,3424.59
12/12/2018,3486.95
12/13/2018,3313.68
12/14/2018,3242.48
12/15/2018,3236.76
12/16/2018,3252.84
12/17/2018,3545.86
12/18/2018,3696.06
12/19/2018,3745.95
12/20/2018,4134.44
12/21/2018,3896.54
12/22/2018,4014.18
